hip,ra,dec,radeg,decdeg
74226,15 10 08.32,+34 45 13.4,227.535,34.754
74227,15 10 09.19,-75 27 42.3,227.538,-75.462
74228,15 10 09.85,-36 33 27.3,227.541,-36.558
74229,15 10 09.94,-23 42 10.9,227.541,-23.703
74230,15 10 10.79,-41 00 16.3,227.545,-41.005
74231,15 10 11.07,+40 45 21.2,227.546,40.756
74232,15 10 11.41,-18 03 25.4,227.548,-18.057
74233,15 10 12.26,+44 52 10.7,227.551,44.87
74234,15 10 13.58,-16 27 15.5,227.557,-16.454
74235,15 10 13.69,-16 22 14.9,227.557,-16.371
74236,15 10 14.84,+32 07 47.1,227.562,32.13
74237,15 10 15.03,+42 46 56.1,227.563,42.782
74238,15 10 15.21,-44 02 16.3,227.563,-44.038
74239,15 10 18.65,-26 19 57.4,227.578,-26.333
74240,15 10 18.92,-79 36 46.1,227.579,-79.613
74241,15 10 19.74,+25 44 59.1,227.582,25.75
74242,15 10 19.81,-48 59 45.2,227.583,-48.996
74243,15 10 20.44,-49 53 58.4,227.585,-49.9
∗74244,15 10 21.33,-41 29 39.1,227.589,-41.494
∗74245,15 10 20.82,-28 27 57.8,227.587,-28.466
74246,15 10 21.71,-09 53 10.2,227.59,-9.886
74247,15 10 22.75,+27 25 25.4,227.595,27.424
74248,15 10 24.33,-68 11 01.8,227.601,-68.184
74249,15 10 25.70,+25 26 41.3,227.607,25.445
74250,15 10 28.38,-57 07 57.7,227.618,-57.133
74251,15 10 30.28,+42 09 57.3,227.626,42.166
74252,15 10 30.57,-47 36 42.9,227.627,-47.612
74253,15 10 31.51,+11 40 24.9,227.631,11.674
74254,15 10 31.81,-71 39 51.8,227.633,-71.664
74255,15 10 32.30,-50 44 49.8,227.635,-50.747
74256,15 10 32.55,+25 15 20.2,227.636,25.256
74257,15 10 32.56,+48 00 03.1,227.636,48.001
74258,15 10 34.29,-38 00 48.8,227.643,-38.014
74259,15 10 35.14,+20 21 09.7,227.646,20.353
74260,15 10 35.22,+37 02 04.8,227.647,37.035
74261,15 10 35.97,-42 58 34.6,227.65,-42.976
74262,15 10 36.12,-74 25 32.2,227.65,-74.426
74263,15 10 36.96,-67 34 35.8,227.654,-67.577
74264,15 10 38.61,-50 09 06.2,227.661,-50.152
74265,15 10 38.89,+33 04 44.0,227.662,33.079
∗74266,15 10 39.66,+22 38 56.5,227.665,22.649
∗74267,15 10 41.34,-07 32 41.1,227.672,-7.545
∗74268,15 10 41.60,-43 43 46.7,227.673,-43.73
∗74269,15 10 41.80,-35 03 07.5,227.674,-35.052
∗74270,15 10 39.38,+34 29 02.1,227.664,34.484
74271,15 10 43.21,-43 43 00.0,227.68,-43.717
74272,15 10 44.40,+67 46 51.8,227.685,67.781
74273,15 10 44.97,-61 25 20.3,227.687,-61.422
74274,15 10 46.78,-46 04 00.7,227.695,-46.067
74275,15 10 47.09,-66 52 29.1,227.696,-66.875
74276,15 10 47.60,-38 44 25.0,227.698,-38.74
74277,15 10 48.15,+33 01 48.8,227.701,33.03
74278,15 10 48.44,+46 51 00.4,227.702,46.85
74279,15 10 49.60,+55 25 20.6,227.707,55.422
74280,15 10 49.80,+63 52 26.2,227.708,63.874
74281,15 10 50.16,+46 50 54.1,227.709,46.848
74282,15 10 50.58,+34 01 56.7,227.711,34.032
74283,15 10 51.96,+08 03 12.6,227.716,8.054
74284,15 10 52.61,+30 40 19.8,227.719,30.672
74285,15 10 53.43,-48 30 26.2,227.723,-48.507
74286,15 10 53.50,+29 13 45.2,227.723,29.229
74287,15 10 59.25,+14 15 05.2,227.747,14.251
74288,15 11 00.42,+07 19 28.1,227.752,7.324
74289,15 11 00.70,-73 52 09.9,227.753,-73.869
74290,15 11 01.11,-64 24 53.6,227.755,-64.415
74291,15 11 04.86,-22 04 39.4,227.77,-22.078
74292,15 11 05.01,-03 34 02.3,227.771,-3.567
74293,15 11 07.57,-73 08 18.2,227.782,-73.138
74294,15 11 08.66,-76 56 59.3,227.786,-76.95
74295,15 11 08.79,-39 51 51.1,227.787,-39.864
74296,15 11 08.79,-84 47 16.2,227.787,-84.788
74297,15 11 09.18,-52 32 10.3,227.788,-52.536
74298,15 11 10.20,+38 57 02.6,227.792,38.951
74299,15 11 11.65,-16 57 52.5,227.799,-16.965
74300,15 11 12.53,+17 23 28.1,227.802,17.391
74301,15 11 13.52,-13 03 15.5,227.806,-13.054
74302,15 11 13.82,-40 42 57.2,227.808,-40.716
74303,15 11 14.79,+50 43 12.9,227.812,50.72
74304,15 11 15.38,-00 51 19.2,227.814,-0.855
∗74305,15 11 15.98,-55 20 45.7,227.817,-55.346
∗74306,15 11 15.89,+71 00 43.3,227.816,71.012
74307,15 11 16.31,+18 36 27.6,227.818,18.608
74308,15 11 16.93,-39 30 29.0,227.821,-39.508
74309,15 11 18.42,+29 58 49.6,227.827,29.98
74310,15 11 20.18,-18 00 43.7,227.834,-18.012
74311,15 11 20.67,-11 28 17.1,227.836,-11.471
74312,15 11 21.07,+29 33 14.1,227.838,29.554
74313,15 11 21.34,-11 03 21.4,227.839,-11.056
74314,15 11 21.63,+04 00 31.4,227.84,4.009
74315,15 11 22.93,+32 03 20.8,227.846,32.056
74316,15 11 24.12,+59 03 14.0,227.851,59.054
74317,15 11 24.22,-27 19 24.0,227.851,-27.323
74318,15 11 24.48,-27 28 07.7,227.852,-27.469
74319,15 11 26.49,+65 38 20.5,227.86,65.639
74320,15 11 26.63,+48 41 34.6,227.861,48.693
74321,15 11 26.78,-36 14 56.9,227.862,-36.249
74322,15 11 27.01,+43 47 43.3,227.863,43.795
74323,15 11 27.60,-36 14 32.0,227.865,-36.242
74324,15 11 28.04,-37 30 18.3,227.867,-37.505
74325,15 11 29.19,+19 26 43.0,227.872,19.445
74326,15 11 29.27,+71 50 26.7,227.872,71.841
74327,15 11 29.84,-02 03 15.6,227.874,-2.054
74328,15 11 29.92,+02 49 42.4,227.875,2.828
74329,15 11 31.92,-45 16 44.7,227.883,-45.279
74330,15 11 32.11,-73 09 09.6,227.884,-73.153
74331,15 11 32.53,+29 06 31.7,227.886,29.109
74332,15 11 32.91,-21 18 37.0,227.887,-21.31
74333,15 11 34.23,+20 02 36.3,227.893,20.043
74334,15 11 34.36,+08 31 01.5,227.893,8.517
74335,15 11 34.54,-51 16 54.4,227.894,-51.282
74336,15 11 34.82,-45 16 39.0,227.895,-45.277
74337,15 11 34.99,+49 54 10.9,227.896,49.903
74338,15 11 35.09,-02 15 35.9,227.896,-2.26
74339,15 11 35.72,-59 25 14.6,227.899,-59.421
74340,15 11 36.52,+48 55 25.9,227.902,48.924
74341,15 11 37.11,+24 13 59.0,227.905,24.233
74342,15 11 37.54,+21 31 35.1,227.906,21.526
74343,15 11 37.78,+80 41 42.4,227.907,80.695
74344,15 11 38.26,-64 56 11.8,227.909,-64.937
74345,15 11 38.30,+10 07 29.8,227.91,10.125
74346,15 11 38.69,+53 33 18.0,227.911,53.555
74347,15 11 38.80,-67 42 36.0,227.912,-67.71
74348,15 11 40.03,-42 11 26.0,227.917,-42.191
74349,15 11 40.69,+51 37 11.0,227.92,51.62
74350,15 11 41.31,-06 00 41.2,227.922,-6.011
74351,15 11 41.44,+40 44 46.9,227.923,40.746
74352,15 11 41.94,+23 27 16.6,227.925,23.455
74353,15 11 43.77,-05 28 29.3,227.932,-5.475
74354,15 11 43.95,-37 16 19.2,227.933,-37.272
74355,15 11 44.45,+63 37 19.0,227.935,63.622
74356,15 11 44.65,-05 28 57.4,227.936,-5.483
∗74357,15 11 45.84,-33 38 19.9,227.941,-33.639
∗74358,15 11 45.84,-34 22 11.9,227.941,-34.37
74359,15 11 47.72,+10 12 59.5,227.949,10.217
74360,15 11 47.79,-39 22 11.8,227.949,-39.37
74361,15 11 48.29,-15 13 53.1,227.951,-15.231
74362,15 11 49.09,-49 38 17.4,227.955,-49.638
74363,15 11 49.31,+23 02 04.1,227.955,23.034
74364,15 11 49.80,+02 14 01.4,227.958,2.234
74365,15 11 49.86,-31 27 17.2,227.958,-31.455
74366,15 11 49.96,+11 28 30.5,227.958,11.475
74367,15 11 49.99,-16 09 34.2,227.958,-16.159
74368,15 11 50.30,+61 51 40.4,227.96,61.861
74369,15 11 50.36,-46 45 06.3,227.96,-46.752
74370,15 11 50.56,+61 51 24.4,227.961,61.857
74371,15 11 51.61,-08 50 23.7,227.965,-8.84
74372,15 11 53.09,+63 39 11.8,227.971,63.653
74373,15 11 54.17,+09 46 37.2,227.976,9.777
74374,15 11 55.09,+16 38 01.3,227.98,16.634
74375,15 11 55.99,-64 58 19.7,227.983,-64.972
74376,15 11 56.16,-48 44 15.7,227.984,-48.738
74377,15 11 56.92,+56 01 30.6,227.987,56.025
∗74378,15 11 57.44,+38 40 19.0,227.989,38.672
∗74379,15 11 57.37,-32 17 15.0,227.989,-32.288
∗74380,15 11 57.77,-48 44 36.9,227.991,-48.744
∗74381,15 11 57.76,+36 45 16.8,227.991,36.755
74382,15 11 59.98,+38 40 12.5,228.0,38.67
74383,15 12 01.97,+72 52 16.5,228.008,72.871
74384,15 12 02.13,+39 57 26.7,228.009,39.957
74385,15 12 04.06,+22 18 48.6,228.017,22.314
74386,15 12 04.27,+18 58 33.6,228.018,18.976
74387,15 12 04.32,-45 00 45.2,228.018,-45.013
74388,15 12 06.56,+45 09 50.1,228.027,45.164
74389,15 12 10.29,-30 53 09.7,228.043,-30.886
74390,15 12 11.39,+04 19 20.4,228.047,4.322
74391,15 12 12.04,-19 06 23.1,228.05,-19.106
74392,15 12 13.31,-19 47 29.9,228.055,-19.792
74393,15 12 13.53,-06 47 13.7,228.056,-6.787
74394,15 12 15.74,+43 58 51.5,228.066,43.981
74395,15 12 17.20,-52 05 56.7,228.072,-52.099
74396,15 12 17.69,+39 39 22.2,228.074,39.656
∗74397,15 12 20.21,-38 30 53.0,228.084,-38.515
∗74398,15 12 19.55,-64 32 26.7,228.081,-64.541
∗74399,15 12 19.54,-34 58 03.5,228.081,-34.968
∗74400,15 12 19.52,-53 39 28.8,228.081,-53.658
74401,15 12 20.96,-16 24 39.8,228.087,-16.411
74402,15 12 21.67,-39 59 06.0,228.09,-39.985
74403,15 12 22.61,+31 28 10.5,228.094,31.47
74404,15 12 23.06,+38 59 15.2,228.096,38.988
74405,15 12 23.61,-75 15 15.0,228.098,-75.254
74406,15 12 23.76,-06 39 36.1,228.099,-6.66
74407,15 12 24.00,+55 37 37.6,228.1,55.627
74408,15 12 24.78,+78 23 27.6,228.103,78.391
74409,15 12 25.40,+66 58 30.2,228.106,66.975
74410,15 12 25.55,-09 15 39.5,228.106,-9.261
74411,15 12 26.16,+52 55 48.2,228.109,52.93
74412,15 12 26.24,-18 05 23.8,228.109,-18.09
74413,15 12 26.40,-15 42 54.2,228.11,-15.715
74414,15 12 29.33,-30 49 35.7,228.122,-30.827
74415,15 12 29.66,-63 02 00.5,228.124,-63.033
74416,15 12 29.73,-51 15 25.5,228.124,-51.257
74417,15 12 30.28,-35 55 07.8,228.126,-35.919
74418,15 12 31.23,-48 13 08.0,228.13,-48.219
74419,15 12 32.69,+06 01 50.1,228.136,6.031
74420,15 12 33.36,+15 22 34.3,228.139,15.376
74421,15 12 34.01,-72 46 14.0,228.142,-72.771
74422,15 12 34.50,+35 58 17.9,228.144,35.972
74423,15 12 35.07,-20 56 49.9,228.146,-20.947
74424,15 12 36.97,+54 01 16.2,228.154,54.021
74425,15 12 37.49,-00 22 53.7,228.156,-0.382
74426,15 12 38.85,-49 53 45.3,228.162,-49.896
74427,15 12 40.50,+08 56 04.9,228.169,8.935
∗74428,15 12 40.62,+60 08 04.9,228.169,60.135
∗74429,15 12 40.53,-60 05 29.8,228.169,-60.092
74430,15 12 40.83,-12 23 13.5,228.17,-12.387
74431,15 12 41.91,-14 41 38.1,228.175,-14.694
∗74432,15 12 43.85,+19 17 07.2,228.183,19.285
∗74433,15 12 43.76,+48 34 50.4,228.182,48.581
74434,15 12 44.14,+19 17 30.3,228.184,19.292
74435,15 12 45.13,+03 32 38.7,228.188,3.544
74436,15 12 45.37,-46 53 44.4,228.189,-46.896
∗74437,15 12 45.63,+19 05 42.8,228.19,19.095
∗74438,15 12 45.55,-60 23 36.6,228.19,-60.394
74439,15 12 45.92,+27 55 15.2,228.191,27.921
74440,15 12 46.78,+44 16 17.3,228.195,44.271
74441,15 12 47.19,+10 42 08.9,228.197,10.702
74442,15 12 47.73,+27 55 36.7,228.199,27.927
74443,15 12 47.75,-01 09 55.4,228.199,-1.165
74444,15 12 47.76,+06 48 07.4,228.199,6.802
74445,15 12 49.02,+07 23 58.9,228.204,7.4
74446,15 12 49.28,-62 39 29.6,228.205,-62.658
74447,15 12 49.38,-52 01 44.7,228.206,-52.029
74448,15 12 49.52,-54 45 19.0,228.206,-54.755
74449,15 12 49.60,-44 30 01.3,228.207,-44.5
74450,15 12 50.58,+31 20 24.2,228.211,31.34
74451,15 12 50.92,+75 28 16.1,228.212,75.471
74452,15 12 51.77,+19 48 27.3,228.216,19.808
74453,15 12 53.87,+69 20 02.6,228.224,69.334
74454,15 12 54.64,-44 57 31.5,228.228,-44.959
74455,15 12 55.77,-19 17 33.7,228.232,-19.293
74456,15 12 55.95,-79 43 06.6,228.233,-79.719
74457,15 12 57.37,+20 18 27.7,228.239,20.308
74458,15 12 57.92,+56 02 47.2,228.241,56.046
74459,15 12 58.05,+14 48 14.2,228.242,14.804
74460,15 12 58.27,+24 44 46.7,228.243,24.746
74461,15 12 59.22,-51 58 21.9,228.247,-51.973
74462,15 12 59.34,+41 12 45.3,228.247,41.213
74463,15 13 00.19,-38 50 40.9,228.251,-38.845
74464,15 13 00.32,-03 41 33.5,228.251,-3.693
∗74465,15 13 00.36,+49 46 30.8,228.251,49.775
∗74466,15 13 00.33,+83 02 04.0,228.251,83.034
74467,15 13 00.42,-43 08 41.5,228.252,-43.145
∗74468,15 13 01.08,-37 14 47.8,228.255,-37.247
∗74469,15 13 00.65,-30 44 53.2,228.253,-30.748
∗74470,15 13 01.03,-61 44 37.6,228.254,-61.744
74471,15 13 03.29,+09 34 41.3,228.264,9.578
74472,15 13 03.35,+57 03 05.7,228.264,57.052
74473,15 13 03.76,-39 57 44.1,228.266,-39.962
74474,15 13 03.86,+08 51 29.2,228.266,8.858
74475,15 13 04.59,-09 49 40.9,228.269,-9.828
74476,15 13 05.44,-76 17 20.1,228.273,-76.289
74477,15 13 06.24,-21 58 38.6,228.276,-21.977
74478,15 13 06.91,+18 08 09.8,228.279,18.136
74479,15 13 07.68,-36 05 28.9,228.282,-36.091
74480,15 13 08.31,+65 46 45.5,228.285,65.779
74481,15 13 09.34,+01 52 47.9,228.289,1.88
74482,15 13 09.95,-33 19 30.4,228.291,-33.325
74483,15 13 10.52,-04 39 56.2,228.294,-4.666
74484,15 13 10.80,-65 42 24.0,228.295,-65.707
74485,15 13 13.08,-47 11 23.8,228.304,-47.19
74486,15 13 13.32,-32 26 38.4,228.305,-32.444
74487,15 13 14.50,+38 39 55.5,228.31,38.665
74488,15 13 14.78,-11 00 25.1,228.312,-11.007
74489,15 13 17.13,+45 50 16.0,228.321,45.838
74490,15 13 17.43,-24 00 29.8,228.323,-24.008
74491,15 13 17.47,+12 27 25.5,228.323,12.457
74492,15 13 17.61,-20 15 15.1,228.323,-20.254
74493,15 13 19.22,-19 38 50.8,228.33,-19.647
74494,15 13 19.41,+08 14 42.5,228.331,8.245
∗74495,15 13 22.03,-69 27 01.3,228.342,-69.45
∗74496,15 13 22.02,+13 16 24.2,228.342,13.273
74497,15 13 25.15,-70 40 23.2,228.355,-70.673
74498,15 13 27.45,-29 14 47.7,228.364,-29.247
74499,15 13 27.98,-33 08 50.0,228.367,-33.147
74500,15 13 28.93,-25 18 33.0,228.371,-25.309
74501,15 13 29.24,-55 43 54.3,228.372,-55.732
74502,15 13 29.79,-01 38 23.9,228.374,-1.64
74503,15 13 30.73,-42 09 57.5,228.378,-42.166
74504,15 13 31.48,+58 16 02.8,228.381,58.267
74505,15 13 31.84,+22 58 59.4,228.383,22.983
74506,15 13 31.85,+37 47 47.4,228.383,37.796
74507,15 13 31.88,+15 55 20.1,228.383,15.922
74508,15 13 31.96,+05 02 39.4,228.383,5.044
74509,15 13 32.57,+38 34 05.7,228.386,38.568
74510,15 13 34.73,-01 40 00.4,228.395,-1.667
74511,15 13 34.74,-62 56 37.7,228.395,-62.944
74512,15 13 35.21,+34 52 54.8,228.397,34.882
74513,15 13 35.56,+02 15 01.8,228.398,2.251
74514,15 13 35.59,+38 15 53.3,228.398,38.265
74515,15 13 36.30,+13 06 55.6,228.401,13.115
74516,15 13 37.50,+42 47 22.2,228.406,42.789
74517,15 13 37.97,+57 11 29.5,228.408,57.192
74518,15 13 38.49,+72 04 57.1,228.41,72.083
74519,15 13 39.29,-41 29 37.8,228.414,-41.494
74520,15 13 39.70,+23 51 28.2,228.415,23.858
74521,15 13 39.77,-29 45 26.4,228.416,-29.757
74522,15 13 40.12,+55 25 32.4,228.417,55.426
∗74523,15 13 43.23,+07 41 18.8,228.43,7.689
∗74524,15 13 43.18,-28 59 04.2,228.43,-28.985
74525,15 13 44.75,-08 37 10.8,228.436,-8.62
74526,15 13 45.18,+12 15 14.8,228.438,12.254
74527,15 13 45.54,+16 30 41.9,228.44,16.512
74528,15 13 45.73,+12 02 26.3,228.441,12.041
74529,15 13 46.13,-23 32 26.9,228.442,-23.541
74530,15 13 46.90,+29 58 58.2,228.445,29.983
74531,15 13 47.10,-14 01 22.5,228.446,-14.023
∗74532,15 13 47.19,+14 26 54.4,228.447,14.448
∗74533,15 13 47.14,-12 22 49.0,228.446,-12.38
74534,15 13 48.17,-35 50 02.1,228.451,-35.834
74535,15 13 50.30,-33 31 04.5,228.46,-33.518
74536,15 13 51.26,-74 54 41.3,228.464,-74.911
74537,15 13 51.64,-01 21 00.6,228.465,-1.35
74538,15 13 52.93,+28 21 31.5,228.471,28.359
74539,15 13 53.32,-26 11 36.8,228.472,-26.194
74540,15 13 53.96,-24 22 43.5,228.475,-24.379
74541,15 13 54.25,+47 30 07.0,228.476,47.502
74542,15 13 54.39,-43 21 24.0,228.477,-43.357
74543,15 13 54.45,+59 32 08.1,228.477,59.536
74544,15 13 55.01,-36 52 45.9,228.479,-36.879
74545,15 13 55.06,+25 37 13.2,228.479,25.62
74546,15 13 56.30,-54 37 48.9,228.485,-54.63
74547,15 13 57.05,+32 42 09.1,228.488,32.703
74548,15 13 57.31,-09 29 36.6,228.489,-9.493
∗74549,15 13 58.99,-41 27 44.6,228.496,-41.462
∗74550,15 13 59.16,-41 27 27.8,228.496,-41.458
∗74551,15 13 58.91,+47 58 08.7,228.495,47.969
74552,15 13 59.19,-61 20 34.5,228.497,-61.343
74553,15 13 59.28,+43 02 52.7,228.497,43.048
74554,15 13 59.52,-02 25 00.5,228.498,-2.417
74555,15 14 00.07,-03 47 54.1,228.5,-3.798
74556,15 14 00.95,+09 58 52.2,228.504,9.981
74557,15 14 01.30,+50 15 36.0,228.505,50.26
74558,15 14 01.47,-01 53 11.0,228.506,-1.886
74559,15 14 02.44,+63 24 07.8,228.51,63.402
74560,15 14 04.29,-08 46 00.4,228.518,-8.767
74561,15 14 06.01,+31 47 16.5,228.525,31.788
74562,15 14 06.85,+01 43 28.1,228.529,1.724
74563,15 14 07.12,+52 35 18.6,228.53,52.589
74564,15 14 07.15,-08 33 46.5,228.53,-8.563
74565,15 14 07.56,-41 03 35.9,228.531,-41.06
74566,15 14 07.92,+17 24 35.7,228.533,17.41
∗74567,15 14 09.66,+31 45 26.2,228.54,31.757
∗74568,15 14 09.59,-17 30 52.6,228.54,-17.515
∗74569,15 14 09.93,+38 58 57.4,228.541,38.983
∗74570,15 14 09.90,-38 29 31.1,228.541,-38.492
74571,15 14 10.29,+42 10 17.2,228.543,42.171
74572,15 14 10.99,+46 26 18.0,228.546,46.438
74573,15 14 11.87,-25 39 01.1,228.549,-25.65
74574,15 14 12.82,-70 33 33.3,228.553,-70.559
74575,15 14 14.74,-40 32 23.1,228.561,-40.54
74576,15 14 16.39,+51 28 07.3,228.568,51.469
74577,15 14 16.62,+20 34 29.5,228.569,20.575
74578,15 14 18.33,+34 54 39.8,228.576,34.911
74579,15 14 18.67,+19 58 16.9,228.578,19.971
74580,15 14 18.80,-58 31 12.2,228.578,-58.52
74581,15 14 18.81,-14 12 33.9,228.578,-14.209
74582,15 14 19.17,-70 04 46.0,228.58,-70.079
74583,15 14 19.96,-43 59 55.5,228.583,-43.999
74584,15 14 21.02,+00 22 10.5,228.588,0.37
74585,15 14 21.54,+04 59 37.7,228.59,4.994
74586,15 14 21.77,-22 28 12.0,228.591,-22.47
74587,15 14 25.88,+24 24 14.8,228.608,24.404
74588,15 14 26.18,+33 00 40.1,228.609,33.011
74589,15 14 26.48,+10 48 31.4,228.61,10.809
74590,15 14 26.89,+03 13 04.8,228.612,3.218
74591,15 14 27.45,-16 00 15.8,228.614,-16.004
74592,15 14 27.64,-47 02 16.5,228.615,-47.038
74593,15 14 28.19,-18 25 42.5,228.617,-18.428
74594,15 14 28.32,-05 56 58.7,228.618,-5.95
74595,15 14 28.65,-03 21 51.9,228.619,-3.364
74596,15 14 29.21,+29 09 51.2,228.622,29.164
74597,15 14 30.00,+49 53 33.7,228.625,49.893
74598,15 14 31.04,-59 44 06.7,228.629,-59.735
74599,15 14 31.11,-52 38 09.0,228.63,-52.636
74600,15 14 33.77,-17 46 06.7,228.641,-17.769
74601,15 14 34.06,-63 37 48.8,228.642,-63.63
74602,15 14 34.33,-45 53 41.3,228.643,-45.895
74603,15 14 36.08,+27 07 57.7,228.65,27.133
74604,15 14 37.33,-31 31 08.9,228.656,-31.519
74605,15 14 38.00,+67 20 51.6,228.658,67.348
74606,15 14 38.37,-59 49 09.9,228.66,-59.819
74607,15 14 38.57,-54 24 23.1,228.661,-54.406
74608,15 14 39.86,+11 30 56.8,228.666,11.516
74609,15 14 39.91,-59 49 13.6,228.666,-59.82
74610,15 14 41.30,+54 24 41.3,228.672,54.411
74611,15 14 41.50,-46 08 24.8,228.673,-46.14
74612,15 14 41.78,-29 04 30.1,228.674,-29.075
74613,15 14 42.39,-07 28 25.5,228.677,-7.474
74614,15 14 43.00,-33 53 59.7,228.679,-33.9
74615,15 14 43.67,-75 32 58.8,228.682,-75.55
74616,15 14 44.15,-27 39 22.7,228.684,-27.656
74617,15 14 44.21,+39 32 55.5,228.684,39.549
74618,15 14 46.03,+21 20 05.6,228.692,21.335
74619,15 14 46.73,-04 39 07.4,228.695,-4.652
74620,15 14 47.38,-52 00 10.1,228.697,-52.003
74621,15 14 49.24,+18 44 36.4,228.705,18.743
74622,15 14 49.69,-42 19 11.1,228.707,-42.32
74623,15 14 50.61,-05 30 09.3,228.711,-5.503
74624,15 14 51.26,-68 05 19.7,228.714,-68.089
74625,15 14 51.63,+68 56 44.6,228.715,68.946
74626,15 14 52.70,-18 37 47.3,228.72,-18.63
74627,15 14 53.12,+01 16 16.4,228.721,1.271
74628,15 14 53.25,+47 06 27.5,228.722,47.108
74629,15 14 55.26,-57 49 04.6,228.73,-57.818
74630,15 14 56.15,-66 09 25.9,228.734,-66.157
74631,15 14 56.60,+38 18 03.6,228.736,38.301
74632,15 14 57.06,+08 10 22.6,228.738,8.173
74633,15 14 57.69,-02 24 52.9,228.74,-2.415
74634,15 14 57.72,-59 50 30.2,228.74,-59.842
74635,15 14 59.90,-66 53 36.5,228.75,-66.893
∗74636,15 15 00.52,-48 44 50.4,228.752,-48.747
∗74637,15 15 00.50,-74 54 07.8,228.752,-74.902
74638,15 15 01.10,+13 45 34.4,228.755,13.76
74639,15 15 01.75,+33 30 45.9,228.757,33.513
74640,15 15 02.29,-05 25 18.8,228.76,-5.422
74641,15 15 02.32,-39 25 59.4,228.76,-39.433
74642,15 15 03.07,+18 02 52.5,228.763,18.048
74643,15 15 03.23,+36 49 48.8,228.763,36.83
74644,15 15 03.24,+71 44 54.6,228.763,71.749
74645,15 15 07.45,-01 10 26.5,228.781,-1.174
74646,15 15 07.67,-15 09 11.8,228.782,-15.153
74647,15 15 08.37,-10 03 53.1,228.785,-10.065
74648,15 15 11.32,-02 53 12.4,228.797,-2.887
74649,15 15 11.37,+04 56 21.7,228.797,4.939
74650,15 15 11.67,-50 22 36.3,228.799,-50.377
74651,15 15 13.97,-30 58 39.9,228.808,-30.978
74652,15 15 14.87,-10 34 08.8,228.812,-10.569
74653,15 15 15.36,-70 31 09.2,228.814,-70.519
74654,15 15 16.18,-58 10 22.4,228.817,-58.173
74655,15 15 16.87,-25 23 22.2,228.82,-25.389
74656,15 15 18.38,+49 45 03.2,228.827,49.751
74657,15 15 19.66,-44 08 58.0,228.832,-44.149
74658,15 15 20.34,-55 29 09.3,228.835,-55.486
74659,15 15 23.97,-11 26 49.2,228.85,-11.447
74660,15 15 24.09,-59 04 29.3,228.85,-59.075
74661,15 15 27.04,-77 41 51.7,228.863,-77.698
74662,15 15 27.28,+22 32 56.9,228.864,22.549
74663,15 15 27.79,-79 08 11.1,228.866,-79.136
74664,15 15 27.88,-68 37 13.1,228.866,-68.62
74665,15 15 28.94,+53 44 56.8,228.871,53.749
74666,15 15 30.10,+33 18 54.4,228.875,33.315
74667,15 15 30.11,-20 12 58.5,228.875,-20.216
74668,15 15 31.22,-63 19 02.4,228.88,-63.317
74669,15 15 33.95,-16 56 04.8,228.891,-16.935
74670,15 15 35.31,+10 07 35.7,228.897,10.127
74671,15 15 35.62,-07 09 24.8,228.898,-7.157
74672,15 15 35.74,+23 27 26.8,228.899,23.457
74673,15 15 38.21,-72 23 54.7,228.909,-72.399
74674,15 15 38.29,+33 19 16.3,228.91,33.321
∗74675,15 15 39.39,-27 35 46.7,228.914,-27.596
∗74676,15 15 39.33,-54 57 50.8,228.914,-54.964
74677,15 15 40.40,-55 13 18.2,228.918,-55.222
74678,15 15 41.45,+25 38 33.2,228.923,25.643
74679,15 15 44.52,-06 23 55.4,228.935,-6.399
74680,15 15 45.26,-14 41 34.2,228.939,-14.693
74681,15 15 45.38,-60 13 54.0,228.939,-60.232
74682,15 15 45.50,+07 35 53.7,228.94,7.598
74683,15 15 45.56,+52 15 14.1,228.94,52.254
74684,15 15 46.58,-20 56 20.7,228.944,-20.939
74685,15 15 48.05,+27 21 42.3,228.95,27.362
74686,15 15 48.31,-34 48 11.8,228.951,-34.803
74687,15 15 48.74,-05 02 51.0,228.953,-5.048
74688,15 15 48.77,-57 00 50.2,228.953,-57.014
74689,15 15 49.14,+00 22 19.6,228.955,0.372
74690,15 15 50.68,+50 56 18.8,228.961,50.939
74691,15 15 52.74,-36 59 55.5,228.97,-36.999
74692,15 15 52.93,+41 09 08.7,228.971,41.152
74693,15 15 53.00,+35 36 24.1,228.971,35.607
74694,15 15 53.41,-27 01 22.1,228.973,-27.023
74695,15 15 53.57,+06 27 53.6,228.973,6.465
74696,15 15 53.66,-48 04 25.1,228.974,-48.074
74697,15 15 55.73,-42 50 38.1,228.982,-42.844
74698,15 15 56.15,-56 17 04.4,228.984,-56.285
74699,15 15 57.02,+15 43 28.0,228.988,15.724
74700,15 15 58.19,+02 01 48.4,228.992,2.03
74701,15 15 58.53,-70 24 48.9,228.994,-70.414
74702,15 15 59.06,+00 47 48.1,228.996,0.797
74703,15 16 01.56,-04 53 52.3,229.006,-4.898
74704,15 16 02.71,+02 10 04.5,229.011,2.168
74705,15 16 03.38,-30 43 48.9,229.014,-30.73
74706,15 16 03.71,-46 37 31.2,229.015,-46.625
74707,15 16 04.03,-41 29 28.1,229.017,-41.491
74708,15 16 04.12,-06 44 10.8,229.017,-6.736
74709,15 16 04.18,+26 30 19.2,229.017,26.505
74710,15 16 06.84,-45 28 52.4,229.029,-45.481
74711,15 16 07.14,+13 28 12.9,229.03,13.47
