objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252190768,756,301,3,756,2608,6,228.990130058026,-0.0702064088269093,23.14887,21.92651,21.60362,21.48193,21.44129,0.3515295,0.06116542,0.06958607,0.09254035,0.3345017
1237648721252189575,756,301,3,756,1415,6,228.988293708192,-0.0650634211232598,24.85745,25.06971,23.52579,21.41613,20.16371,0.6749689,0.5009024,0.3463898,0.08682337,0.1156546
1237648721252190758,756,301,3,756,2598,3,228.987472297694,-0.0673291441936054,25.46737,22.56188,22.20956,21.85544,22.796,0.7151488,0.1387449,0.1593109,0.1785926,0.9019634
1237648721252189161,756,301,3,756,1001,6,229.005093767739,-0.070931706531306,23.95456,24.15811,24.43088,24.96288,22.02814,0.5919101,0.3647406,0.5764014,0.5330657,0.5036684
1237648721252189157,756,301,3,756,997,6,229.004449962816,-0.0699627337564761,23.6705,22.01118,21.65952,21.53078,22.35715,0.5064536,0.06566574,0.07291216,0.09663306,0.5836928
1237648721252190011,756,301,3,756,1851,6,229.001448134316,-0.069319137908938,22.46709,22.06331,21.74148,21.67905,21.81491,0.2142032,0.07198779,0.08248309,0.1166848,0.4709284
1237648721252190013,756,301,3,756,1853,6,229.001731668512,-0.0705315690843423,24.06482,25.17032,25.20331,24.63788,20.62651,0.6385162,0.5072507,0.5733386,0.6102062,0.1753102
1237648721252189102,756,301,3,756,942,6,228.99771392817,-0.0619792972829896,21.36771,19.98004,19.41867,19.21767,19.07936,0.08550987,0.01508476,0.01324179,0.01527657,0.04657457
1237648721252190012,756,301,3,756,1852,3,229.000529470846,-0.0696438557807481,24.12306,23.03804,22.38079,22.61998,22.28329,0.8447062,0.1977031,0.1753016,0.3274343,0.7537474
1237648721252189087,756,301,3,756,927,6,228.994219236844,-0.0702582669128609,21.25352,20.2119,19.8505,19.73458,19.63559,0.07838691,0.01745082,0.01764849,0.02213334,0.073941
1237648721252191389,756,301,3,756,3229,6,228.995717105751,-0.0672367155048649,24.59695,24.30933,23.15627,21.82618,21.37686,0.6916794,0.3917556,0.2574002,0.1241122,0.3191689
1237648721252188996,756,301,3,756,836,6,228.980381843999,-0.0954903588309232,21.94369,20.86972,20.4983,20.30165,20.23473,0.1422413,0.02867211,0.0299382,0.03680151,0.1335723
1237648721252189007,756,301,3,756,847,3,228.982315895275,-0.094362129745712,24.17097,22.13759,21.50876,21.3117,21.42872,0.8144715,0.08951034,0.07991491,0.1021229,0.4323315
1237648721252189009,756,301,3,756,849,3,228.980176716707,-0.0905153542057938,24.22759,22.45839,21.18112,20.68702,20.94059,1.440775,0.2028792,0.1033055,0.1020747,0.519501
1237648721252189005,756,301,3,756,845,6,228.981476431569,-0.0919967601719356,24.72373,22.75028,21.54417,21.23038,21.44037,0.7756678,0.1364627,0.07418138,0.08503257,0.3890853
1237648721252189001,756,301,3,756,841,3,228.981798380689,-0.0926903876023328,24.209,23.55013,22.77266,20.9424,20.58335,0.6522285,0.232893,0.1885287,0.05810669,0.1644129
1237648721252188993,756,301,3,756,833,6,228.98167061073,-0.0936058338192751,21.74962,20.59414,20.26547,20.19332,20.31657,0.1207952,0.02310099,0.02448512,0.03281296,0.1386132
1237648721252188376,756,301,3,756,216,6,228.988660861693,-0.0939535416349905,21.59883,20.74981,20.39474,20.29069,20.26862,0.10613,0.02595722,0.02680522,0.03470944,0.1281704
1237648721252189000,756,301,3,756,840,6,228.986706546282,-0.0917466241904571,22.55141,21.59249,22.06739,24.36166,20.7898,0.2183868,0.0469288,0.103171,0.6290573,0.1979465
1237648721252188999,756,301,3,756,839,6,228.98601687634,-0.0937138232526536,22.13685,21.16513,20.95573,20.82643,20.99447,0.1578249,0.03399922,0.04070126,0.05285315,0.2348023
1237648721252189008,756,301,3,756,848,3,228.986406264872,-0.0926534544914399,24.1137,21.59185,20.78583,20.60041,21.70187,1.695582,0.1167818,0.08982622,0.1172461,1.181819
1237648721252189013,756,301,3,756,853,3,228.98284344687,-0.0883024869854883,21.36072,19.0917,17.97168,17.48699,17.1004,0.1388966,0.01172659,0.007347947,0.007149298,0.01695925
1237648721252188992,756,301,3,756,832,6,228.98447851248,-0.0947397475064881,22.64865,20.67712,20.03891,19.77076,19.67748,0.2407012,0.02384662,0.02022066,0.02278131,0.07684208
1237648721252188390,756,301,3,756,230,6,228.996790554276,-0.0931940449582195,21.75813,20.45431,20.15181,20.02326,19.99069,0.1230765,0.02118183,0.02280815,0.02906735,0.1066437
1237648721252188388,756,301,3,756,228,6,228.993604534086,-0.0865417126022503,21.59729,20.12406,19.54219,19.30997,19.20911,0.1034676,0.01748563,0.01500853,0.01686944,0.05356769
1237648721252188385,756,301,3,756,225,6,228.995372937836,-0.0881126646594092,18.39259,16.14235,15.21932,14.82952,14.60115,0.01311456,0.003716215,0.003503052,0.003658549,0.004449827
1237648721252188394,756,301,3,756,234,6,228.994621940915,-0.0893277744333722,23.26509,25.11443,24.80234,21.16213,21.56431,0.3908027,0.5546343,0.6492562,0.07227362,0.3733778
1237648721252188377,756,301,3,756,217,6,228.990912267672,-0.0937710032179463,24.72098,22.90444,22.32811,22.42075,22.60933,0.6879036,0.1384614,0.131522,0.2086689,0.6263538
