"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2019 DH1)","8","26.2","10 - 45","6","5.647, 418","11.708, 146","443547","2020-10 [23.3]","none","none","bK19D01H"
"(2008 WO2)","9","29.8","1.9 - 8.5","6","6.661, 402","11.914, 154","439921","none","none","none","bK08W02O"
"(2007 TF15)","14","24.6","21 - 94","2","6.625, 378","11.864, 154","436548","2021-06 [21.2]","none","none","bK07T15F"
"(2018 RR1)","6","30.0","1.7 - 7.8","6","5.792, 386","11.918, 82","435382","none","none","none","bK18R01R"
"(2019 NH6)","1","24.9","18 - 81","8","6.441, 394","11.979, 162","434436","? 2025-06 [21.4] ?","none","none","bK19N06H"
"(2017 FM2)","6","25.6","13 - 59","5","5.540, 362","11.934, 74","434285","2042-02 [23.8]","2030-03 [65]","none","bK17F02M"
"(2017 TA6)","6","27.1","6.6 - 30","4","5.652, 314","11.613, 82","433511","2031-03 [23.4]","none","none","bK17T06A"
"(2008 CM74)","8","28.1","4.2 - 19","6","5.000, 322","11.926, 74","432999","? 2025-06 [21.1] ?","none","none","bK08C74M"
"(2019 NC1)","26","21.4","91 - 408","3","6.358, 378","11.857, 106","431163","2020-03 [17.1]","2020-08 [50]","2021-08 [12]","bK19N01C"
"(2018 FT3)","3","26.8","7.6 - 34","7","7.337, 202","11.891, 90","430829","? 2024-02 [21.2] ?","none","none","bK18F03T"
"(2017 GM6)","13","26.0","11 - 49","5","5.212, 370","11.934, 90","430786","? 2041-02 [20.8] ?","none","none","bK17G06M"
"(2018 CU14)","5","27.6","5.3 - 23","7","5.347, 314","11.611, 74","429977","? 2044-06 [20.6] ?","none","none","bK18C14U"
"(2019 YV)","13","23.6","33 - 148","6","6.075, 418","11.973, 130","429427","2020-08 [21.2]","none","none","bK19Y00V"
"(2009 TP)","10","23.6","33 - 148","6","6.131, 370","11.988, 154","429057","2033-10 [22.3]","none","none","bK09T00P"
"(2014 MZ17)","15","24.1","26 - 118","3","6.932, 346","11.931, 226","428211","2028-05 [19.6]","2029-10 [12]","none","bK14M17Z"
"(2013 EC20)","13","29.0","2.8 - 12","4","5.992, 450","11.958, 82","425302","none","none","none","bK13E20C"
"(2012 DH54)","18","27.5","5.5 - 25","2","5.927, 338","11.903, 114","425239","2031-01 [23.9]","2041-03 [69]","none","bK12D54H"
"(2016 HL3)","12","24.7","20 - 89","2","6.309, 426","11.952, 154","422627","2036-03 [22.3]","none","none","bK16H03L"
"(2011 ED12)","16","26.8","7.6 - 34","6","5.840, 370","11.857, 114","422479","? 2033-08 [23.6] ?","none","none","bK11E12D"
"(2005 LC)","8","26.8","7.6 - 34","7","6.067, 378","11.791, 50","420700","? 2040-05 [21.2] ?","none","none","bK05L00C"
"(2017 TB)","1","29.1","2.6 - 12","6","5.417, 362","11.933, 162","418768","? 2034-09 [21.7] ?","none","none","bK17T00B"
"(2018 RO5)","11","25.6","13 - 59","6","7.301, 394","11.981, 218","417974","2020-09 [22.8]","none","none","bK18R05O"
"(2015 MC54)","8","26.8","7.6 - 34","5","6.150, 426","11.941, 90","413589","? 2028-05 [23.9] ?","none","none","bK15M54C"
"(2018 DC4)","1","27.3","6.0 - 27","6","6.306, 442","11.742, 82","413486","none","none","none","bK18D04C"
"(2019 AP8)","12","24.3","24 - 107","2","6.560, 410","11.990, 122","412660","2024-03 [23.0]","none","none","bK19A08P"
"(2009 OS5)","18","24.5","22 - 98","1","6.063, 402","11.634, 42","410477","2020-03 [19.8]","2020-07 [110]","none","bK09O05S"
"(2016 BQ)","6","26.8","7.6 - 34","6","4.982, 378","11.904, 98","407121","2020-08 [23.3]","2021-08 [29]","2021-08 [130]","bK16B00Q"
"(2005 UV64)","7","26.5","8.7 - 39","6","5.981, 362","11.749, 82","405000","? 2020-10 [21.4] ?","none","none","bK05U64V"
"(2007 BB)","7","27.8","4.8 - 21","7","5.625, 346","11.926, 98","402360","? 2044-01 [23.0] ?","none","none","bK07B00B"
"(2018 TS4)","3","27.6","5.3 - 23","5","5.987, 362","11.996, 154","400936","none","none","none","bK18T04S"
"(2016 BS67)","13","26.2","10 - 45","5","5.451, 370","11.734, 98","400255","? 2028-02 [21.3] ?","none","none","bK16B67S"
"(2019 SU3)","26","27.2","6.3 - 28","2","6.226, 450","11.928, 122","400188","none","none","none","bK19S03U"
"(2018 GE2)","17","27.0","6.9 - 31","5","5.903, 362","11.975, 162","400000","2025-09 [23.1]","2042-10 [2.1e5]","2042-10 [1.4e6]","bK18G02E"
"(2016 JB18)","13","27.3","6.0 - 27","6","6.076, 426","11.411, 66","394909","? 2040-11 [23.5] ?","none","none","bK16J18B"
"(2017 YW3)","9","26.5","8.7 - 39","5","6.324, 378","11.875, 162","394379","? 2025-06 [23.5] ?","none","none","bK17Y03W"
"(2014 KD45)","6","27.8","4.8 - 21","7","5.861, 418","11.833, 50","393782","? 2040-03 [22.3] ?","none","none","bK14K45D"
"(2019 RY)","15","24.8","19 - 85","4","6.075, 362","11.740, 98","393373","2020-07 [20.8]","2020-09 [14]","none","bK19R00Y"
"(2010 WU8)","10","24.2","25 - 112","6","6.645, 442","11.864, 178","392734","2043-01 [23.2]","none","none","bK10W08U"
"(2013 YG)","10","25.4","14 - 65","5","6.271, 378","11.984, 122","389061","2041-01 [23.6]","none","none","bK13Y00G"
"(2015 BG92)","27","25.1","17 - 74","4","5.168, 362","11.940, 74","383179","2028-06 [19.0]","2029-01 [160]","none","bK15B92G"
"(2009 UY19)","25","23.4","36 - 163","2","5.079, 370","11.484, 98","381359","2037-08 [18.6]","2038-10 [52]","2039-04 [29]","bK09U19Y"
"(2005 UG5)","9","24.3","24 - 107","0","6.766, 386","11.818, 146","378678","2020-05 [23.3]","none","none","bK05U05G"
"(2019 AQ2)","10","25.5","14 - 62","3","5.533, 362","11.824, 114","371580","2020-03 [21.6]","none","none","bK19A02Q"
"(2018 VA5)","3","26.4","9.1 - 41","6","4.833, 362","11.987, 66","371071","? 2033-03 [21.2] ?","none","none","bK18V05A"
"(2019 OF5)","1","25.2","16 - 70","9","5.519, 378","11.910, 154","370399","? 2033-01 [23.3] ?","none","none","bK19O05F"
"(2012 AP10)","13","26.5","8.7 - 39","1","5.673, 354","11.598, 34","370371","2038-01 [21.7]","2038-02 [23]","2042-12 [1.9e4]","bK12A10P"
"(2014 YN)","23","25.7","13 - 56","5","5.930, 426","11.913, 34","367309","2030-12 [22.1]","2030-12 [47]","2030-11 [880]","bK14Y00N"
"(2015 YK)","14","25.9","11 - 51","5","6.035, 362","11.952, 82","367261","2023-10 [23.4]","none","none","bK15Y00K"
"(2016 WT7)","10","25.9","11 - 51","5","5.197, 370","11.953, 114","367000","? 2033-03 [21.5] ?","none","none","bK16W07T"
"(2014 HW)","10","28.4","3.6 - 16","6","5.690, 362","11.934, 98","366707","none","none","none","bK14H00W"
"(2017 XS2)","8","26.0","11 - 49","5","6.337, 306","11.983, 130","365331","2028-12 [22.4]","none","none","bK17X02S"
"(2012 FS35)","7","30.2","1.6 - 7.1","5","5.971, 338","11.986, 154","363606","none","none","none","bK12F35S"
"(2019 PY)","11","25.4","14 - 65","3","5.747, 370","11.919, 138","357641","2032-01 [23.0]","none","none","bK19P00Y"
"(2017 FJ3)","2","29.9","1.8 - 8.1","6","6.559, 370","11.953, 162","354493","none","none","none","bK17F03J"
"(2018 VN5)","20","25.4","14 - 65","3","6.478, 378","11.839, 146","352306","2025-12 [22.8]","none","none","bK18V05N"
"(2016 RZ)","5","26.7","8.0 - 36","6","6.876, 338","11.961, 90","349410","? 2022-09 [21.3] ?","none","none","bK16R00Z"
"(2014 HL199)","3","26.8","7.6 - 34","9","8.924, 450","11.960, 194","348992","none","none","none","bK14HJ9L"
"(2018 GZ)","6","27.8","4.8 - 21","6","5.886, 370","11.990, 162","348554","none","none","none","bK18G00Z"
"(2017 BF30)","18","24.2","25 - 112","3","6.097, 402","11.815, 90","348076","2031-05 [23.1]","none","none","bK17B30F"
"(2019 GK3)","4","29.5","2.2 - 10","6","6.296, 370","11.995, 154","347206","none","none","none","bK19G03K"
"(2016 TP11)","19","24.3","24 - 107","3","6.036, 386","11.966, 170","346076","2033-01 [21.9]","2035-09 [130]","none","bK16T11P"
"(2017 QB35)","4","29.3","2.4 - 11","4","6.245, 362","11.978, 90","344450","none","none","none","bK17Q35B"
"(2017 BV93)","7","24.9","18 - 81","5","6.414, 402","11.999, 82","343579","? 2033-09 [22.1] ?","none","none","bK17B93V"
"(2013 UT4)","6","26.2","10 - 45","6","5.591, 362","11.969, 122","342881","? 2023-03 [23.0] ?","none","none","bK13U04T"
"(2012 BA35)","10","23.8","30 - 135","5","5.941, 370","11.680, 66","342793","2021-04 [23.2]","2021-07 [28]","2021-08 [170]","bK12B35A"
"(2017 EB3)","19","25.0","17 - 78","2","5.627, 346","11.965, 114","341800","2035-01 [22.0]","2036-10 [53]","none","bK17E03B"
"(2018 SF3)","6","25.3","15 - 68","2","7.107, 402","11.937, 122","340610","2020-07 [22.9]","none","none","bK18S03F"
"(2017 BZ6)","13","26.1","10 - 47","4","6.085, 370","11.950, 114","339983","2025-06 [23.9]","none","none","bK17B06Z"
"(2017 FL64)","4","28.5","3.5 - 16","6","6.333, 450","11.861, 90","339004","none","none","none","bK17F64L"
"(2008 EY84)","6","26.8","7.6 - 34","6","5.944, 362","11.768, 154","338767","none","none","none","bK08E84Y"
"(2010 XF3)","14","24.4","23 - 103","6","6.791, 354","11.998, 90","336616","2023-09 [23.7]","none","none","bK10X03F"
"(2020 BR2)","6","26.2","10 - 46","6","5.278, 362","11.893, 90","336235","? 2037-12 [22.9] ?","none","none","bK20B02R"
"(2018 KR)","7","26.4","9.1 - 41","7","6.361, 314","11.854, 98","335471","? 2023-05 [20.1] ?","none","none","bK18K00R"
"(2010 VQ)","12","27.7","5.0 - 22","7","6.027, 442","11.866, 58","335309","? 2022-11 [20.8] ?","none","none","bK10V00Q"
"(2019 LX1)","6","24.5","22 - 98","4","5.961, 362","11.988, 98","332693","2027-01 [22.6]","2034-11 [10]","none","bK19L01X"
"(2019 GV5)","2","29.4","2.3 - 10","5","6.454, 450","11.984, 82","332427","none","none","none","bK19G05V"
"(2011 AM37)","7","29.7","2.0 - 8.9","6","6.007, 362","11.870, 138","331517","none","none","none","bK11A37M"
"(2016 LC9)","4","27.0","6.9 - 31","6","6.296, 362","11.766, 98","329970","2026-06 [23.9]","none","none","bK16L09C"
"(2016 FZ13)","6","28.3","3.8 - 17","5","6.245, 386","11.808, 114","329100","none","none","none","bK16F13Z"
"(2017 UJ2)","2","30.9","1.1 - 5.1","6","6.108, 338","11.978, 170","329005","none","none","none","bK17U02J"
"(2003 WT153)","9","28.0","4.4 - 20","6","5.930, 290","11.838, 66","327453","? 2030-11 [19.9] ?","none","none","bK03WF3T"
"(2001 BA16)","19","26.0","11 - 49","6","6.114, 362","11.973, 98","325380","? 2032-01 [19.6] ?","none","none","bK01B16A"
"(2019 QW2)","5","24.8","19 - 85","5","5.032, 362","11.825, 90","323903","2020-10 [21.3]","2021-01 [1600]","2021-01 [31]","bK19Q02W"
"(2014 LK21)","13","25.9","11 - 51","4","6.377, 362","11.416, 114","323733","2031-03 [23.4]","none","none","bK14L21K"
"(2019 WV)","21","24.9","18 - 81","5","5.685, 354","11.865, 138","322108","2027-03 [22.9]","none","2027-11 [300]","bK19W00V"
"341843 (2008 EV5)","106","20.0","174 - 778","1","6.291, 362","11.771, 98","320842","2021-12 [21.8]","2023-12 [8.e3]","2023-12 [260]","a0341843"
"(2019 GP19)","7","26.6","8.3 - 37","5","6.429, 370","11.942, 82","318708","2040-04 [23.4]","none","none","bK19G19P"
"(2004 UT1)","8","26.6","8.3 - 37","5","6.665, 370","11.952, 186","318231","? 2022-10 [18.1] ?","none","none","bK04U01T"
"(2017 BY32)","4","26.3","10 - 43","6","6.248, 362","11.825, 90","314619","? 2023-07 [21.7] ?","none","none","bK17B32Y"
"(2011 DS)","16","26.9","7.3 - 32","6","6.084, 386","11.989, 186","314421","? 2028-06 [23.5] ?","none","none","bK11D00S"
"(2006 BJ55)","10","24.2","25 - 112","6","6.568, 378","11.918, 130","311223","? 2029-12 [22.9] ?","none","none","bK06B55J"
"(2019 AU)","9","26.7","8.0 - 36","6","6.196, 362","11.970, 66","309746","? 2025-11 [22.5] ?","none","none","bK19A00U"
"(2017 AR4)","12","24.8","19 - 85","4","5.790, 370","11.942, 146","309142","2043-04 [22.6]","none","none","bK17A04R"
"(2016 AF2)","7","27.9","4.6 - 20","6","6.813, 330","11.874, 122","308030","? 2021-01 [20.9] ?","none","none","bK16A02F"
"(2015 PL57)","13","25.7","13 - 56","4","6.372, 298","11.790, 66","307458","2021-10 [23.9]","2034-03 [19]","none","bK15P57L"
"(2020 DO4)","1","27.5","5.5 - 25","6","6.733, 354","11.976, 122","305886","2020-03 [21.3]","2020-03 [15]","none","bK20D04O"
"(2009 WR52)","10","28.3","3.8 - 17","6","5.366, 362","11.929, 138","302649","? 2028-04 [21.3] ?","none","none","bK09W52R"
"(2012 EC)","41","23.3","38 - 170","0","5.906, 434","11.956, 34","301906","2022-03 [24.0]","2038-06 [930]","2038-06 [270]","bK12E00C"
"(2016 TM)","15","27.5","5.5 - 25","6","6.254, 314","11.831, 98","301636","2042-05 [23.4]","none","none","bK16T00M"
"(2018 MA5)","2","26.3","10 - 43","5","7.050, 354","11.772, 186","299974","? 2030-06 [21.1] ?","none","none","bK18M05A"
"(2020 AP3)","2","26.6","8.5 - 38","7","7.108, 322","11.920, 114","299910","none","none","none","bK20A03P"
"(2012 KB4)","6","25.3","15 - 68","7","6.605, 378","11.821, 114","296326","? 2020-05 [20.9] ?","none","none","bK12K04B"
"(2015 YA)","7","27.4","5.8 - 26","6","7.880, 434","11.997, 306","295950","2044-04 [23.4]","none","none","bK15Y00A"
"(2019 GJ4)","7","26.0","11 - 49","2","6.653, 386","11.917, 170","295758","2020-04 [23.2]","none","none","bK19G04J"
"(2018 RB4)","4","26.9","7.3 - 32","7","5.608, 370","11.996, 146","294478","none","none","none","bK18R04B"
"(2014 TW)","18","26.0","11 - 49","3","5.178, 370","11.705, 90","293365","2038-02 [21.6]","2038-10 [85]","none","bK14T00W"
"(2014 MF18)","10","26.1","10 - 47","0","6.269, 202","11.998, 42","292017","2045-05 [20.1]","2045-06 [74]","2045-07 [140]","bK14M18F"
"(2016 JJ38)","3","27.2","6.3 - 28","9","7.181, 370","11.941, 154","291188","? 2040-03 [22.3] ?","none","none","bK16J38J"
"(2017 SA20)","3","28.2","4.0 - 18","6","6.028, 346","11.712, 138","290738","? 2024-03 [21.7] ?","none","none","bK17S20A"
"(2007 RO17)","7","25.8","12 - 54","7","7.055, 370","11.712, 122","289872","? 2032-08 [21.3] ?","none","none","bK07R17O"
"(2016 ST2)","10","24.8","19 - 85","5","6.884, 442","11.996, 122","287234","2022-01 [22.7]","none","none","bK16S02T"
"(2009 UK20)","12","26.3","10 - 43","6","6.331, 386","11.887, 146","287133","? 2022-10 [23.9] ?","none","none","bK09U20K"
"(2019 LE1)","4","26.4","9.1 - 41","6","5.588, 362","11.930, 170","286411","? 2040-05 [20.6] ?","none","none","bK19L01E"
"(2014 HB177)","9","28.1","4.2 - 19","6","5.696, 354","11.956, 162","285719","? 2034-04 [14.5] ?","none","none","bK14HH7B"
"(2017 QO1)","2","27.0","6.9 - 31","7","6.813, 402","11.820, 74","285473","? 2034-07 [20.9] ?","none","none","bK17Q01O"
"(2016 DH)","6","27.5","5.5 - 25","6","5.195, 362","11.933, 98","284352","? 2036-01 [23.0] ?","none","none","bK16D00H"
"(2018 RQ1)","13","24.2","25 - 112","5","6.191, 386","11.711, 42","284190","2032-07 [20.2]","2032-08 [43]","2032-09 [43]","bK18R01Q"
"(2012 UW68)","16","24.8","19 - 85","4","6.690, 402","11.924, 50","282310","2024-07 [23.4]","2036-01 [25]","none","bK12U68W"
"(2017 DR35)","5","26.3","10 - 43","7","6.793, 418","11.758, 130","281150","? 2035-01 [22.8] ?","none","none","bK17D35R"
"(2019 JU5)","11","24.0","28 - 123","2","6.663, 346","11.585, 138","280732","2027-10 [23.9]","2029-04 [310]","none","bK19J05U"
"(2018 FH1)","6","26.6","8.3 - 37","4","6.222, 346","11.769, 114","280350","2028-03 [20.0]","2028-03 [76]","none","bK18F01H"
"(2012 BP123)","4","27.1","6.6 - 30","9","6.061, 346","11.878, 82","279327","? 2036-08 [21.6] ?","none","none","bK12BC3P"
"(2018 MQ5)","16","24.1","26 - 118","3","5.774, 370","11.856, 114","279022","2027-11 [21.8]","none","none","bK18M05Q"
"(2014 US56)","6","26.2","10 - 45","6","6.291, 370","11.994, 138","276946","? 2029-10 [23.4] ?","none","none","bK14U56S"
"(2013 UX2)","4","29.2","2.5 - 11","5","6.644, 370","11.805, 82","274049","none","none","none","bK13U02X"
"(2018 RW)","3","30.6","1.3 - 5.9","6","6.994, 346","11.972, 170","273045","none","none","none","bK18R00W"
"(2019 YB4)","3","26.8","7.6 - 34","6","5.520, 386","11.887, 266","271763","2020-12 [22.7]","none","none","bK19Y04B"
"(2015 RW83)","7","24.1","26 - 118","6","6.191, 370","11.849, 66","270544","2022-04 [23.3]","none","none","bK15R83W"
"(2004 FM32)","8","27.1","6.6 - 30","6","5.221, 346","11.824, 50","270268","? 2042-03 [18.0] ?","none","none","bK04F32M"
"(2017 RP2)","16","23.8","30 - 135","4","6.604, 418","11.946, 74","270197","2023-09 [23.8]","none","none","bK17R02P"
"(2002 VX91)","15","24.3","24 - 107","2","7.056, 402","11.819, 178","269119","2042-11 [23.6]","2044-11 [11]","none","bK02V91X"
"(2018 KP1)","12","25.1","17 - 74","3","4.994, 394","11.943, 122","268432","2020-03 [21.7]","2021-01 [19]","2021-01 [12]","bK18K01P"
"(2007 RT12)","15","23.9","29 - 129","3","7.185, 410","11.975, 146","268415","2042-12 [23.7]","none","none","bK07R12T"
"(2012 PY19)","7","27.5","5.5 - 25","6","6.762, 442","11.971, 114","267935","? 2034-07 [23.6] ?","none","none","bK12P19Y"
"(2016 CO248)","9","27.5","5.5 - 25","6","6.394, 362","11.900, 114","267920","? 2025-02 [23.5] ?","none","none","bK16CO8O"
"(2017 CF32)","16","26.1","10 - 47","2","6.661, 346","11.903, 154","265815","2037-08 [23.7]","2038-02 [23]","none","bK17C32F"
"(2017 VN2)","6","27.4","5.8 - 26","6","6.061, 330","11.823, 106","263410","? 2028-11 [20.8] ?","none","none","bK17V02N"
"(2019 RP2)","5","28.9","2.9 - 13","6","6.911, 450","11.922, 130","262139","none","none","none","bK19R02P"
"(2019 OP3)","1","25.6","13 - 59","6","6.901, 418","11.919, 162","259829","? 2038-06 [22.4] ?","none","none","bK19O03P"
"(2016 EE28)","7","26.8","7.6 - 34","6","6.340, 362","11.933, 114","259311","? 2037-09 [23.4] ?","none","none","bK16E28E"
"(2001 QE71)","16","24.4","23 - 103","6","5.664, 354","11.889, 114","258757","2020-08 [23.7]","none","none","bK01Q71E"
"(2017 BW)","41","23.5","35 - 155","1","6.128, 370","11.980, 106","257579","2026-10 [21.5]","2027-07 [150]","none","bK17B00W"
"(2010 VT21)","6","27.3","6.0 - 27","9","5.519, 362","11.845, 122","256640","? 2042-05 [23.7] ?","none","none","bK10V21T"
"(2018 WA1)","1","30.1","1.7 - 7.4","6","6.258, 426","11.942, 50","254869","none","none","none","bK18W01A"
"(2013 SB20)","5","24.8","19 - 85","7","5.917, 370","11.648, 74","253927","? 2022-08 [23.4] ?","none","none","bK13S20B"
"(2016 HD3)","16","28.0","4.4 - 20","3","7.173, 370","11.952, 178","250643","none","none","none","bK16H03D"
"99942 Apophis (2004 MN4)","199","19.7","200 - 893","0","6.065, 354","11.984, 138","249940","2020-03 [20.9]","2020-10 [30]","2021-03 [12]","a0099942"
"(2017 WZ14)","6","25.1","17 - 74","4","6.373, 354","11.971, 154","248722","2034-07 [22.5]","2035-12 [11]","none","bK17W14Z"
"(2016 HF2)","13","26.1","10 - 47","5","6.573, 370","11.994, 162","248432","2021-08 [23.7]","none","none","bK16H02F"
"(2018 EL4)","14","25.4","14 - 65","5","7.425, 442","11.972, 130","248303","2028-06 [23.9]","none","none","bK18E04L"
"(2009 BF2)","11","25.9","11 - 51","6","5.655, 362","11.823, 170","248262","? 2032-01 [18.6] ?","none","none","bK09B02F"
"(2017 HG4)","7","27.7","5.0 - 22","6","6.916, 370","11.816, 34","247039","2021-04 [23.0]","none","none","bK17H04G"
"(2018 NX)","5","27.7","5.0 - 22","6","7.066, 418","11.960, 90","245830","none","none","none","bK18N00X"
"(2016 EP84)","19","27.4","5.8 - 26","4","5.981, 426","11.767, 34","245381","2028-11 [22.9]","2029-01 [2600]","2029-01 [51]","bK16E84P"
"(2016 FU12)","4","26.9","7.3 - 32","7","5.902, 442","11.869, 266","245194","none","none","none","bK16F12U"
"(2013 PG10)","9","27.8","4.8 - 21","7","6.768, 450","11.730, 186","244718","? 2041-07 [21.1] ?","none","none","bK13P10G"
"(2007 WA)","12","24.7","20 - 89","6","5.837, 362","11.948, 114","244629","? 2027-10 [21.1] ?","none","none","bK07W00A"
"(2010 WR7)","14","23.5","35 - 155","4","7.651, 394","11.956, 186","243775","2025-10 [23.6]","2025-12 [160]","none","bK10W07R"
"(2013 DA1)","7","27.3","6.0 - 27","7","6.780, 434","11.945, 98","243154","none","none","none","bK13D01A"
"(2018 LE1)","12","27.5","5.5 - 25","5","6.445, 370","11.990, 138","243130","none","none","none","bK18L01E"
"(2005 VL1)","19","26.5","8.7 - 39","0","7.105, 338","11.897, 178","242594","2021-10 [20.7]","2021-11 [35]","2033-02 [19]","bK05V01L"
"(2019 GX3)","1","27.4","5.8 - 26","6","6.482, 370","11.945, 114","240789","none","none","none","bK19G03X"
"(2016 AB9)","7","24.7","20 - 89","5","5.625, 370","11.923, 98","237626","2026-01 [23.0]","none","none","bK16A09B"
"(2017 QW1)","8","26.2","10 - 45","4","5.799, 370","11.903, 98","237546","2020-11 [22.7]","none","none","bK17Q01W"
"471984 (2013 UE3)","33","22.8","48 - 214","2","7.438, 378","11.982, 178","237539","2037-10 [23.9]","2039-12 [820]","2039-12 [52]","a0471984"
"(2013 HO)","10","25.9","11 - 51","6","5.552, 362","11.979, 138","236142","? 2041-03 [23.4] ?","none","none","bK13H00O"
"(2001 BB16)","26","23.2","40 - 178","0","7.099, 418","11.786, 50","235954","2020-03 [21.5]","2035-01 [5200]","2035-01 [460]","bK01B16B"
"(2017 HZ4)","15","25.8","12 - 54","5","6.671, 354","11.846, 146","235183","2030-03 [22.0]","none","none","bK17H04Z"
"(2016 SX1)","12","28.6","3.3 - 15","5","6.521, 426","11.909, 74","233707","none","none","none","bK16S01X"
